### Cluster 50 — Symptoms (107)
Symptom,Frequency
stitches in patella on rising,pain in scapular region,1.0,1
stitches in patella on rising,patients with lost vital forces from fluid loss,1.0,1
stitches in patella on rising,back pain worse on stooping,1.0,1
stitches in patella on rising,burning in joints of fingers,1.0,1
stitches in patella on rising,cramp-like tension in shoulders,1.0,1
stitches in patella on rising,drawing pain in nape up into head,1.0,1
stitches in patella on rising,unable to sit,1.0,1
stitches in patella on rising,cramps in lower leg when walking,1.0,1
stitches in patella on rising,limbs go to sleep easily,1.0,1
stitches in patella on rising,leg stiffness especially on first beginning to walk,1.0,1
stitches in patella on rising,aching along spine,1.0,1
stitches in patella on rising,paralytic pains in knees,1.0,1
stitches in patella on rising,drawing pain in hip joints,1.0,1
stitches in patella on rising,hat band sensation remains after hat removed,1.0,1
stitches in patella on rising,bruised pain in elbow joints,1.0,1
stitches in patella on rising,stiffness of back,1.0,1
stitches in patella on rising,aching pain from loins to coccyx,1.0,1
stitches in patella on rising,cramps in soles evenings after lying down,1.0,1
stitches in patella on rising,burning on scapula,1.0,1
stitches in patella on rising,boring in joints of fingers,1.0,1
stitches in patella on rising,fingers drawn out of shape,1.0,1
stitches in patella on rising,drawing in shafts of bones,1.0,1
stitches in patella on rising,drawing pain in back,1.0,1
stitches in patella on rising,drawing in joints of fingers,1.0,1
stitches in patella on rising,burning about hips,1.0,1
stitches in patella on rising,stitches in right great toe,1.0,1
stitches in patella on rising,pinching pressing pain in lower spine,1.0,1
stitches in patella on rising,tearing beneath hip,1.0,1
stitches in patella on rising,spine is bent,1.0,1
stitches in patella on rising,toe pain worse when walking,1.0,1
stitches in patella on rising,pressing pain beneath coccyx,1.0,1
stitches in patella on rising,roughness of voice,1.0,1
stitches in patella on rising,tension in knees on waking,1.0,1
stitches in patella on rising,boring in fingers,1.0,1
stitches in patella on rising,burning in thigh,1.0,1
stitches in patella on rising,rheumatic drawing in back,1.0,1
stitches in patella on rising,burning on right shoulder,1.0,1
stitches in patella on rising,toes stinging,1.0,1
stitches in patella on rising,drawing rheumatic pains in right shoulder,1.0,1
stitches in patella on rising,tearing in hip,1.0,1
stitches in patella on rising,voice almost fails at times,1.0,1
stitches in patella on rising,sensation as if tendons of wrist were shortened,1.0,1
stitches in patella on rising,pains at every weather change,1.0,1
stitches in patella on rising,sensation of stiffness in legs after sleep in evening,1.0,1
stitches in patella on rising,prickling stitches in joints of fingers,1.0,1
stitches in patella on rising,cold knees,1.0,1
stitches in patella on rising,shoulder pain worse from motion,1.0,1
stitches in patella on rising,tearing in right hip,1.0,1
stitches in patella on rising,drawing in arm on which he lies at night,1.0,1
stitches in patella on rising,boring pains in limbs,1.0,1
stitches in patella on rising,pressing cramp-like pain in small of back,1.0,1
stitches in patella on rising,stitches in shoulders,1.0,1
stitches in patella on rising,lancinating pain in wrists when grasping,1.0,1
stitches in patella on rising,sensation of plug in back,1.0,1
stitches in patella on rising,sensation as if tendons of hand were shortened,1.0,1
stitches in patella on rising,sprained pain in right hand,1.0,1
stitches in patella on rising,back pain worse on sitting,1.0,1
stitches in patella on rising,drawing in thigh,1.0,1
stitches in patella on rising,lack of strength in knees,1.0,1
stitches in patella on rising,cramp-like pain on outside of left thigh,1.0,1
stitches in patella on rising,knees go to sleep,1.0,1
stitches in patella on rising,pain in joints of hands,1.0,1
stitches in patella on rising,drawing pain from abdomen down into leg,1.0,1
stitches in patella on rising,great depression of vital forces,1.0,1
stitches in patella on rising,arms weary when writing,1.0,1
stitches in patella on rising,burning in fingers,1.0,1
stitches in patella on rising,limbs go to sleep,1.0,1
stitches in patella on rising,burning in bones,1.0,1
stitches in patella on rising,heartburn very persistent,1.0,1
stitches in patella on rising,thigh stitches passing downward when walking,1.0,1
stitches in patella on rising,stiffness of nape,1.0,1
stitches in patella on rising,paralytic weakness of right shoulder,1.0,1
stitches in patella on rising,great inclination to stretch limbs in evening,1.0,1
stitches in patella on rising,stitches in thigh,1.0,1
stitches in patella on rising,limbs are bruised,1.0,1
stitches in patella on rising,severe nosebleed almost daily,1.0,1
stitches in patella on rising,toes red,1.0,1
stitches in patella on rising,hip pain extending to thigh,1.0,1
stitches in patella on rising,painful sensation as if hat band were too tight,1.0,1
stitches in patella on rising,tearing in fingers of left hand,1.0,1
stitches in patella on rising,bone pain painful on pressure,1.0,1
stitches in patella on rising,complementary with kali carb.,1.0,1
paralytic weakness of right shoulder,burning in limbs,1.0,1
paralytic weakness of right shoulder,rheumatic drawing from loins to coccyx,1.0,1
paralytic weakness of right shoulder,drawing tearing in left arm from elbow to hand,1.0,1
paralytic weakness of right shoulder,hip pain extending to sacrum,1.0,1
paralytic weakness of right shoulder,prickling stitches in fingers,1.0,1
paralytic weakness of right shoulder,toes swollen,1.0,1
paralytic weakness of right shoulder,hand pain worse in windy weather,1.0,1
paralytic weakness of right shoulder,shoulder pain worse in morning,1.0,1
paralytic weakness of right shoulder,tension in thigh in morning,1.0,1
paralytic weakness of right shoulder,pains when beginning to walk,1.0,1
paralytic weakness of right shoulder,prostrated with rheumatic pains,1.0,1
paralytic weakness of right shoulder,great hoarseness,1.0,1
paralytic weakness of right shoulder,drawing in limbs,1.0,1
paralytic weakness of right shoulder,sense of constriction in thigh,1.0,1
paralytic weakness of right shoulder,elbow pain worse by touch,1.0,1
paralytic weakness of right shoulder,tearing in right thigh,1.0,1
paralytic weakness of right shoulder,burning about scapulae,1.0,1
paralytic weakness of right shoulder,cold limbs,1.0,1
paralytic weakness of right shoulder,left thigh pain when lifting it,1.0,1
paralytic weakness of right shoulder,stitches in ankle joint,1.0,1
paralytic weakness of right shoulder,paralytic weakness of right arm,1.0,1
paralytic weakness of right shoulder,cramps in calves at night,1.0,1
paralytic weakness of right shoulder,stiffness of thigh on standing,1.0,1
paralytic weakness of right shoulder,tearing in either wrist,1.0,1
paralytic weakness of right shoulder,pain in scapular region,1.0,1
paralytic weakness of right shoulder,patients with lost vital forces from fluid loss,1.0,1
paralytic weakness of right shoulder,back pain worse on stooping,1.0,1
paralytic weakness of right shoulder,burning in joints of fingers,1.0,1
paralytic weakness of right shoulder,cramp-like tension in shoulders,1.0,1
paralytic weakness of right shoulder,drawing pain in nape up into head,1.0,1
paralytic weakness of right shoulder,unable to sit,1.0,1
paralytic weakness of right shoulder,cramps in lower leg when walking,1.0,1
paralytic weakness of right shoulder,limbs go to sleep easily,1.0,1
paralytic weakness of right shoulder,leg stiffness especially on first beginning to walk,1.0,1
paralytic weakness of right shoulder,aching along spine,1.0,1
paralytic weakness of right shoulder,paralytic pains in knees,1.0,1
paralytic weakness of right shoulder,drawing pain in hip joints,1.0,1
paralytic weakness of right shoulder,hat band sensation remains after hat removed,1.0,1
paralytic weakness of right shoulder,bruised pain in elbow joints,1.0,1
paralytic weakness of right shoulder,stiffness of back,1.0,1
paralytic weakness of right shoulder,aching pain from loins to coccyx,1.0,1
paralytic weakness of right shoulder,cramps in soles evenings after lying down,1.0,1
paralytic weakness of right shoulder,burning on scapula,1.0,1
paralytic weakness of right shoulder,boring in joints of fingers,1.0,1
paralytic weakness of right shoulder,fingers drawn out of shape,1.0,1
paralytic weakness of right shoulder,drawing in shafts of bones,1.0,1
paralytic weakness of right shoulder,drawing pain in back,1.0,1
paralytic weakness of right shoulder,drawing in joints of fingers,1.0,1
paralytic weakness of right shoulder,burning about hips,1.0,1
paralytic weakness of right shoulder,stitches in right great toe,1.0,1
paralytic weakness of right shoulder,pinching pressing pain in lower spine,1.0,1
paralytic weakness of right shoulder,tearing beneath hip,1.0,1
paralytic weakness of right shoulder,spine is bent,1.0,1
paralytic weakness of right shoulder,toe pain worse when walking,1.0,1
paralytic weakness of right shoulder,pressing pain beneath coccyx,1.0,1
paralytic weakness of right shoulder,roughness of voice,1.0,1
paralytic weakness of right shoulder,tension in knees on waking,1.0,1
